#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: termo.png (8036 x 3388)
# $TexturePacker:SmartUpdate:52c16c6be2fa6cc3c2c9cb0f2fbff56d:fb8b51bda1e28f85921faf6c9c5ef791:1ce7ef1f4e44857761c29eb9d3572988$
#

200;1;2748;1695;2745;845;912;2775;0.5088757396449705;0.505464480874317
400;0;7189;1;845;2745;912;2775;0.5088757396449705;0.505464480874317
600;1;1;2542;2745;845;912;2775;0.5088757396449705;0.505464480874317
800;1;2748;2542;2745;845;912;2775;0.5088757396449705;0.505464480874317
1000;1;1;1;2745;845;912;2775;0.5088757396449705;0.505464480874317
1200;1;2748;1;2745;845;912;2775;0.5088757396449705;0.505464480874317
1400;1;1;848;2745;845;912;2775;0.5088757396449705;0.505464480874317
1600;1;2748;848;2745;845;912;2775;0.5088757396449705;0.505464480874317
1800;1;1;1695;2745;845;912;2775;0.5088757396449705;0.505464480874317
2000;0;5495;1;845;2745;912;2775;0.5088757396449705;0.505464480874317
2200;0;6342;1;845;2745;912;2775;0.5088757396449705;0.505464480874317
