#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: meat.png (5704 x 6784)
# $TexturePacker:SmartUpdate:79455c1791b3e815c87476d4a2ab8693:164411e24d3d091fbaf86afa5f5f8ee1:84ecb26a29c7a08cce4be0bf14c9135b$
#

0;1;2969;1;2689;991;991;2689;0.5;0.5
10;0;1206;3938;1186;2753;1186;2753;0.5;0.5
20;0;3497;3938;1056;2753;1056;2753;0.5;0.5
30;0;2394;3938;1101;2753;1101;2753;0.5;0.5
40;0;4555;3938;1015;2753;1015;2753;0.5;0.5
50;0;4376;994;1327;2942;1327;2942;0.5;0.5
60;0;2969;994;1405;2942;1405;2942;0.5;0.5
70;1;1;1229;2941;1405;1405;2941;0.5;0.5
80;1;1;2636;2941;1203;1203;2941;0.5;0.5
90;0;1;3841;1203;2941;1203;2941;0.5;0.5
100;1;1;1;2966;1226;1226;2966;0.5;0.5
